region,year,EV_sales,sales_share,EV_stock,stock_share
China,2011,2560.0,0.0340000018477439,3480.0,0.0092000002041459
China,2012,4930.0,0.0729999989271164,8460.0,0.0189999993890523
China,2013,7865.0,0.0949999988079071,16300.0,0.0309999994933605
China,2014,36500.0,0.4000000059604645,42500.0,0.0700000002980232
China,2015,105500.0,1.0,148500.0,0.209999993443489
China,2016,169500.0,1.5,315000.0,0.3899999856948852
China,2017,290000.0,2.400000095367432,605000.0,0.6600000262260437
China,2018,545000.0,4.699999809265137,1120000.0,1.100000023841858
China,2019,530000.0,5.0,1685000.0,1.5
China,2020,570000.0,5.699999809265137,2245000.0,1.899999976158142
China,2021,1083339.6666666667,16.0,2600006.3333333335,3.0999999046325684
China,2022,1966746.6666666667,29.0,4700080.0,5.099999904632568
China,2023,2700173.3333333335,38.0,7266920.0,7.599999904632568
Colombia,2015,21.0,0.0170000009238719,,
Colombia,2016,26.5,0.0230000000447034,,
Colombia,2017,74.0,0.06700000166893,,
Colombia,2018,285.0,0.2399999946355819,,
Colombia,2019,660.0,0.550000011920929,,
Colombia,2020,475.0,0.5699999928474426,,
Colombia,2021,1270.0,1.2000000476837158,,
Colombia,2022,2150.0,2.0,,
Colombia,2023,3050.0,3.900000095367432,,
Costa Rica,2015,4.0,0.0096000004559755,140.0,
Costa Rica,2016,12.0,0.025000000372529,160.0,
Costa Rica,2017,25.0,0.0599999986588954,180.0,
Costa Rica,2018,200.0,0.5899999737739563,380.0,
Costa Rica,2019,460.0,1.5,840.0,
Costa Rica,2020,630.0,2.700000047683716,1500.0,
Costa Rica,2021,1000.0,3.900000095367432,2500.0,
Costa Rica,2022,1600.0,5.5,4100.0,
Costa Rica,2023,4900.0,12.0,9000.0,
Croatia,2019,128.5,0.4099999964237213,,
Croatia,2020,335.0,1.899999976158142,,
Croatia,2021,900.0,3.799999952316284,,
Croatia,2022,1120.0,5.0,,
Croatia,2023,1295.0,4.599999904632568,,
Cyprus,2019,23.0,0.1899999976158142,,
Cyprus,2020,62.5,1.399999976158142,,
Cyprus,2021,91.0,1.7000000476837158,,
Cyprus,2022,315.0,5.400000095367432,,
Cyprus,2023,650.0,8.800000190734863,,
Czech Republic,2015,300.0,0.1299999952316284,,
Czech Republic,2016,200.0,0.0799999982118606,,
Czech Republic,2017,390.0,0.1400000005960464,,
Czech Republic,2018,490.0,0.3799999952316284,,
Czech Republic,2019,615.0,0.4900000095367431,,
Czech Republic,2020,2650.0,2.5,,
Czech Republic,2021,3200.0,3.0999999046325684,,
Czech Republic,2022,3750.0,3.900000095367432,,
Czech Republic,2023,6000.0,5.400000095367432,,
Denmark,2011,211.0,0.25,250.0,0.0230000000447034
Denmark,2012,251.0,0.2899999916553497,607.0,0.0560000017285347
Denmark,2013,175.0,0.2800000011920929,757.0,0.0680000036954879
Denmark,2014,563.6666666666666,0.8999999761581421,1500.0,0.1299999952316284
Denmark,2015,1586.0,2.299999952316284,2835.6666666666665,0.3499999940395355
Denmark,2016,628.0,0.8500000238418579,3289.3333333333335,0.4000000059604645
Denmark,2017,448.3333333333333,0.6000000238418579,3561.0,0.4199999868869781
Denmark,2018,1535.0,2.0999999046325684,5096.0,0.5899999737739563
Denmark,2019,3136.0,4.199999809265137,8666.666666666666,0.959999978542328
Denmark,2020,10681.666666666666,16.0,20716.666666666668,2.299999952316284
Denmark,2021,21692.666666666668,35.0,48410.0,5.199999809265137
Denmark,2022,19002.0,39.0,70076.66666666667,7.800000190734863
Denmark,2023,26667.0,46.0,103410.0,11.0
EU27,2010,402.3333333333333,0.0099999997764825,1653.3333333333333,0.0024000001139938
EU27,2011,2499.3333333333335,0.0649999976158142,4162.666666666667,0.0060999998822808
EU27,2012,6509.666666666667,0.1899999976158142,10329.0,0.0149999996647238
EU27,2013,15014.0,0.4699999988079071,25703.333333333332,0.0370000004768371
EU27,2014,19009.333333333332,0.5600000023841858,44046.666666666664,0.0630000010132789
EU27,2015,39720.0,1.100000023841858,83436.66666666667,0.1199999973177909
EU27,2016,39710.0,0.9800000190734864,120153.33333333333,0.1700000017881393
EU27,2017,58090.0,1.2999999523162842,180250.0,0.25
EU27,2018,83386.66666666667,1.899999976158142,253583.33333333334,0.3499999940395355
EU27,2019,130160.0,2.900000095367432,370400.0,0.4900000095367431
EU27,2020,350220.0,10.0,697300.0,0.9300000071525574
EU27,2021,590286.6666666666,17.0,1300900.0,1.7000000476837158
EU27,2022,700400.0,21.0,1868000.0,2.5
EU27,2023,816923.3333333334,22.0,2701566.6666666665,3.5999999046325684
Estonia,2015,34.0,0.1599999964237213,,
Estonia,2016,35.0,0.1500000059604644,,
Estonia,2017,23.0,0.1800000071525573,,
Estonia,2018,59.0,0.4600000083446502,,
Estonia,2019,48.5,0.3600000143051147,,
Estonia,2020,207.5,1.7999999523162842,,
Estonia,2021,360.0,3.200000047683716,,
Estonia,2022,580.0,5.400000095367432,,
Estonia,2023,980.0,8.800000190734863,,
